Name of Resource,Category,URL
American Civil Liberties Union,Donate,https://action.aclu.org/donate-aclu?ms=web_horiz_nav_hp
Anti-Defamation League,Donate,https://secure2.convio.net/adl/site/SPageNavigator/donation-api/donation_form_single_main_1.html?s_src=TopNavSplitButton&s_subsrc=MainLeftButton-Onetime&_ga=1.165472183.900306211.1478718507
Asylum Seeker Advocacy Project of the Urban Justice Center,,https://asap.urbanjustice.org/
Border Angels,Donate,http://www.borderangels.org/our-causes/
Boys & Girls Clubs of America,Volunteer,http://greatfutures.org/pages/waystogive.aspx?_ga=1.12737010.43999393.1478702949
Campaign Zero,,http://www.staywoke.org/
Center for Reproductive Rights,Donate,https://secure3.convio.net/cfrr/site/Donation2;jsessionid=97A4C7A9488B5DDF3450546DE1123DB2.app347a?1380.donation=form1&df_id=1380&web&_ga=1.145398384.513337705.1476995534
Climate Science Legal Defense Fund,Donate,https://climatesciencedefensefund.org/donate/
Climate Science Legal Defense Fund,Volunteer,https://climatesciencedefensefund.org/take-action/
Coalition for Humane Immigrant Rights of Los Angeles (CHIRLA),Donate,https://co.clickandpledge.com/sp/d1/default.aspx?wid=118896
Council on American-Islamic Relations (CAIR),Donate,https://www.cair.com/donations/general-donation/campaign/#/donation
Disability Rights Education and Defense Fund (DREDF),Donate,https://dredf.org/support-our-work/
EarthJustice,Donate,https://secure.earthjustice.org/site/Donation2?df_id=10960&10960.donation=form1&_ga=1.146521844.1974926048.1478708236
Emerge America,,http://www.emergeamerica.org/
EMILY’s List,Donate,https://secure.emilyslist.org/page/contribute/donate-to-emily
Everyone is Gay,Donate,http://everyoneisgay.com/donate/
Glaad,Donate,https://glaad.nationbuilder.com/donate
Human Rights Campaign,Donate,https://give.hrc.org/ea-action/action?ea.client.id=1954&ea.campaign.id=51848
Lambda Legal,Donate,https://www.lambdalegal.org/donate
Mazzoni Center,Donate,https://www.mazzonicenter.org/donate-now
Mazzoni Center,Volunteer,https://www.mazzonicenter.org/donate-now/volunteer-opportunities
NAACP Legal Defense Fund,,http://www.naacpldf.org/ways-get-involved
NARAL Pro-Choice America,Donate,https://actnow.prochoiceamerica.org/donate/supportnaral/?source=leftbar#.WCNXOOErKgQ
NARAL Pro-Choice America,Volunteer,http://actnow.prochoiceamerica.org/signup/volunteer/?source=website#.WCNXKuErKgQ
National Abortion Federation,Donate,https://prochoice.org/about-naf/support-naf/
National Association for the Advancement of Colored People (NAACP),Donate,https://donate.naacp.org/page/contribute/make-a-contribution
National Coalition Against Domestic Violence (NCADV),Donate,http://ncadv.org/give-back/donate
National Immigration Forum,Donate,http://immigrationforum.org/heartsmindslives/
National Immigration Law Center,Donate,https://www.nilc.org/get-involved/
National Network of Abortion Funds,Donate,https://org2.salsalabs.com/o/6713/p/salsa/donation/common/public/?donate_page_KEY=14288
National Organization for Women (NOW),Donate,https://salsa.wiredforchange.com/o/5996/p/salsa/donation/common/public/?donate_page_KEY=11005
National Women’s Law Center,Donate,https://secure2.convio.net/nwlc/site/Donation2;jsessionid=C0F40A05D9AFA8012A8CEE22F569B74C.app250b?df_id=5001&5001.donation=form1
National Women’s Law Center,,https://secure2.convio.net/nwlc/site/Donation2;jsessionid=7702E8AF430C18002FA7F59B8EF5063C.app247a?df_id=5001&5001.donation=form1
Native American Rights Fund,Donate,https://secure2.convio.net/narf/site/Donation2;jsessionid=00000000.app298b?idb=1751022555&DONATION_LEVEL_ID_SELECTED=1&df_id=1641&1641.donation=form1&mfc_pref=T&NONCE_TOKEN=AF1091D22DDABAAEE428E6A332601AC8&idb=0
Native American Rights Fund,Donate,https://secure2.convio.net/narf/site/Donation2;jsessionid=00000000.app268b?idb=430645673&DONATION_LEVEL_ID_SELECTED=1&df_id=1641&1641.donation=form1&mfc_pref=T&NONCE_TOKEN=CDB3C8D882A2878C27AFEFEFE11FC07B&idb=0
New York City Alliance Against Sexual Assault,Volunteer,http://www.svfreenyc.org/volun_resources.html
NextGen Climate Action,Donate,https://nextgenclimate.org/donate/contribute-to-nextgen-climate-action/
NextGen Climate Action,Volunteer,https://nextgenclimate.org/volunteer/
